Tail Number,System,Sub-System,Registration Time,Closing Time,Validated?,Register Profession,Closer Profession
834,74,W,01/01/2020 8:56,01/01/2020 9:27,TRUE,Class A Electricity Tech,Class B Avionics Tech
966,75,A,01/01/2020 10:42,02/01/2020 13:14,TRUE,Pilot,Class A Armament Tech
840,14,H,01/01/2020 11:16,01/01/2020 20:15,TRUE,Pilot,Class B Flight Control Tech
832,47,F,01/01/2020 11:16,01/01/2020 14:08,TRUE,Pilot,Class A Heli Struct Sys Tech
834,90,A,01/01/2020 12:27,01/01/2020 16:37,TRUE,Class A Airborne Mechanic,Class B Flight Control Tech
837,74,5,01/01/2020 12:55,01/01/2020 16:47,TRUE,Pilot,Class B Avionics Tech
845,12,C,01/01/2020 13:41,01/01/2020 14:13,TRUE,Pilot,Class A Officer
801,49,D,01/01/2020 13:51,01/01/2020 15:25,TRUE,Pilot,Class A Airborne Mechanic
924,44,B,01/01/2020 13:57,01/01/2020 13:59,TRUE,Class A Electricity Tech,Class A Electricity Tech
924,44,A,01/01/2020 14:00,01/01/2020 14:22,TRUE,Class A Electricity Tech,Class A Electricity Tech
966,45,E,01/01/2020 15:06,01/01/2020 15:07,TRUE,Class A Heli Struct Sys Tech,Class A Heli Struct Sys Tech
966,11,G,01/01/2020 15:48,06/01/2020 11:01,TRUE,Class A Tech,Class A Tech
921,74,E,01/01/2020 19:11,03/01/2020 11:50,TRUE,Pilot,Class B Avionics Tech
806,16,W,01/01/2020 19:19,01/01/2020 19:21,TRUE,Class A Electricity Tech,Class A Electricity Tech
905,44,B,01/01/2020 19:31,01/01/2020 22:27,TRUE,Pilot,Class A Class A Electricity Tech
935,14,C,01/01/2020 20:35,08/01/2020 17:21,FALSE,Pilot,Class A Heli Struct Sys Tech
935,74,G,01/01/2020 20:35,02/01/2020 10:34,TRUE,Pilot,Class A Armament Tech
935,12,A,01/01/2020 20:35,02/01/2020 10:45,TRUE,Pilot,Class A Class A Electricity Tech
935,75,D,01/01/2020 20:35,05/01/2020 16:03,TRUE,Pilot,Class A Armament Tech
804,74,G,01/01/2020 20:41,02/01/2020 11:25,TRUE,Pilot,Class B Avionics Tech
804,74,6,01/01/2020 20:41,02/01/2020 11:19,FALSE,Pilot,Class B Avionics Tech
956,44,W,01/01/2020 21:01,02/01/2020 9:06,TRUE,Pilot,Class A Class A Electricity Tech
956,14,N,01/01/2020 21:01,02/01/2020 9:58,TRUE,Pilot,Class A Heli Struct Sys Tech
956,74,E,02/01/2020 8:50,02/01/2020 9:44,TRUE,Class B Avionics Tech,Class B Avionics Tech
905,74,5,02/01/2020 9:27,02/01/2020 12:07,TRUE,Pilot,Class B Avionics Tech
840,90,A,02/01/2020 10:40,02/01/2020 10:41,TRUE,Class B Flight Control Tech,Class B Flight Control Tech
806,45,E,02/01/2020 10:41,02/01/2020 15:00,TRUE,Pilot,Class A Heli Struct Sys Tech
938,11,M,02/01/2020 10:48,05/01/2020 13:26,TRUE,Class A Tech,Class A Tech
837,51,C,02/01/2020 11:56,02/01/2020 12:28,TRUE,Pilot,Class A Class A Electricity Tech
837,76,F,02/01/2020 11:56,05/01/2020 15:09,TRUE,Pilot,Class B Avionics Tech
845,11,C,02/01/2020 12:12,06/01/2020 15:42,TRUE,Class A Tech,Class A Tech
966,11,J,02/01/2020 12:57,06/01/2020 11:03,TRUE,Class A Tech,Class A Tech
924,14,M,02/01/2020 14:06,02/01/2020 14:07,TRUE,Class A Heli Struct Sys Tech,Class A Heli Struct Sys Tech
961,12,C,02/01/2020 15:39,02/01/2020 15:40,TRUE,Class A Heli Struct Sys Tech,Class A Heli Struct Sys Tech
806,26,F,05/01/2020 10:41,05/01/2020 17:05,TRUE,Pilot,Class A Class A Electricity Tech
840,12,A,05/01/2020 12:06,07/01/2020 15:08,TRUE,Pilot,Class A Tech
840,12,C,05/01/2020 12:06,07/01/2020 12:25,TRUE,Pilot,Class A Heli Struct Sys Tech
840,76,F,05/01/2020 12:06,06/01/2020 15:32,TRUE,Pilot,Class B Avionics Tech
924,74,E,05/01/2020 13:38,05/01/2020 15:00,TRUE,Class B Avionics Tech,Class B Avionics Tech
845,15,A,05/01/2020 14:25,09/01/2020 7:31,TRUE,Class A Heli Struct Sys Tech,Class A Officer
804,26,A,05/01/2020 15:51,09/01/2020 13:56,TRUE,Pilot,Class A Heli Struct Sys Tech
804,74,N,05/01/2020 15:51,07/01/2020 16:57,FALSE,Pilot,Class B Avionics Tech
935,14,I,05/01/2020 16:09,05/01/2020 21:05,TRUE,Class A Electricity Tech,Class A Electricity Tech
935,11,E,05/01/2020 16:11,05/01/2020 20:20,TRUE,Class A Electricity Tech,Class B Structurer Tech
804,11,E,05/01/2020 16:39,07/01/2020 16:01,TRUE,Class A Tech,Class A Tech
806,44,C,05/01/2020 16:40,05/01/2020 17:02,TRUE,Class A Electricity Tech,Class A Electricity Tech
935,41,V,05/01/2020 16:42,08/01/2020 15:18,TRUE,Class A Electricity Tech,Class A Heli Struct Sys Tech
806,90,A,05/01/2020 16:50,05/01/2020 17:06,FALSE,Class A Heli Struct Sys Tech,Class A Class A Electricity Tech
